,condidatId,diplome,interview,Age,experience,acceptance,post_orientation
0,0013_01,True,2,27.0,False,,junior
1,0018_01,False,2,19.0,False,False,junior
2,0019_01,True,0,31.0,False,,junior
3,0021_01,False,2,38.0,False,False,junior
4,0023_01,False,2,20.0,False,False,junior
5,0027_01,False,2,31.0,False,False,junior
6,0029_01,True,0,21.0,False,,junior
7,0032_01,True,2,20.0,False,False,junior
8,0032_02,True,0,23.0,False,,junior
9,0033_01,False,0,24.0,False,False,junior
10,0037_01,False,2,19.0,False,False,junior
11,0040_01,False,2,45.0,False,False,junior
12,0040_02,False,2,44.0,False,,junior
13,0042_01,True,2,46.0,False,,junior
14,0046_01,False,2,21.0,False,False,junior
15,0046_02,False,2,27.0,False,False,junior
16,0046_03,False,2,20.0,False,False,junior
17,0047_01,True,2,44.0,False,,junior
18,0047_02,False,2,29.0,False,False,junior
19,0047_03,False,2,40.0,False,False,junior
20,0048_01,False,2,30.0,False,False,junior
21,0049_01,False,2,14.0,False,False,junior
22,0054_01,True,0,31.0,False,,junior
23,0054_02,False,0,27.0,False,,junior
24,0054_03,False,0,66.0,False,False,junior
25,0055_01,False,2,24.0,False,False,junior
26,0057_01,False,0,19.0,False,,junior
27,0059_01,True,2,36.0,False,,junior
28,0060_01,False,2,21.0,False,False,junior
29,0063_01,True,0,18.0,False,,junior
30,0065_01,True,2,26.0,False,,junior
31,0075_01,False,2,19.0,False,False,junior
32,0079_01,True,2,48.0,False,,junior
33,0080_01,False,2,23.0,False,False,junior
34,0083_01,False,2,24.0,False,False,junior
35,0087_01,False,2,19.0,False,False,junior
36,0089_01,True,2,24.0,False,,junior
37,0093_01,False,2,27.0,False,False,junior
38,0094_01,True,2,6.0,False,False,junior
39,0094_02,False,2,33.0,False,False,junior
40,0095_01,False,1,23.0,False,False,junior
41,0096_01,False,1,30.0,False,False,junior
42,0100_01,False,2,,,,junior
43,0100_02,False,2,1.0,False,False,junior
44,0104_01,False,2,20.0,False,False,junior
45,0106_01,True,2,17.0,False,,junior
46,0109_01,False,2,34.0,False,False,junior
47,0117_01,False,1,24.0,False,False,junior
48,0118_01,False,2,29.0,False,False,junior
49,0121_01,False,2,20.0,False,False,junior
50,0124_01,True,0,5.0,False,,junior
51,0125_01,True,0,22.0,False,,junior
52,0125_02,False,2,16.0,False,False,junior
53,0130_01,True,0,7.0,False,,junior
54,0131_01,False,0,36.0,False,False,junior
55,0132_01,False,0,26.0,False,False,junior
56,0135_01,False,2,40.0,False,False,junior
57,0137_01,True,2,29.0,False,,junior
58,0142_01,True,2,2.0,False,,junior
59,0142_02,False,2,23.0,False,False,junior
60,0142_03,False,2,0.0,False,,junior
61,0143_01,False,0,30.0,False,,junior
62,0145_01,False,2,56.0,False,False,junior
63,0150_01,True,2,36.0,False,,junior
64,0150_02,True,2,56.0,False,,junior
65,0153_01,False,2,19.0,False,False,junior
66,0154_01,True,1,39.0,False,,junior
67,0155_01,False,2,38.0,False,False,junior
68,0156_01,,2,,False,,junior
69,0157_01,False,2,35.0,False,False,junior
70,0158_01,False,0,26.0,False,False,junior
71,0158_02,False,2,31.0,False,False,junior
72,0159_01,False,2,38.0,False,False,junior
73,0161_01,False,0,27.0,False,,junior
74,0162_01,True,0,30.0,False,,junior
75,0166_01,False,2,22.0,False,False,junior
76,0168_01,True,2,29.0,False,,junior
77,0175_01,True,2,0.0,False,,junior
78,0175_02,,0,8.0,False,,junior
79,0175_03,True,2,3.0,False,,junior
80,0175_04,True,2,27.0,False,,junior
81,0175_05,False,2,9.0,False,,junior
82,0176_01,False,1,29.0,False,False,junior
83,0180_01,False,2,18.0,False,False,junior
84,0184_01,False,2,22.0,False,False,junior
85,0185_01,False,2,24.0,False,False,junior
86,0187_01,True,0,25.0,False,,junior
87,0191_01,False,2,36.0,False,False,junior
88,0194_01,True,2,14.0,False,,junior
89,0194_02,True,0,24.0,False,,junior
90,0194_03,False,0,26.0,True,False,junior
91,0204_01,False,1,29.0,False,False,junior
92,0208_01,,2,40.0,False,False,junior
93,0209_01,False,2,36.0,,False,junior
94,0214_01,False,2,46.0,False,False,junior
95,0214_02,False,2,42.0,False,,junior
96,0215_01,True,2,23.0,False,,junior
97,0218_01,False,2,19.0,False,False,junior
98,0226_01,False,0,25.0,False,,junior
99,0227_01,,2,22.0,False,False,junior
100,0228_01,True,2,35.0,False,,junior
101,0228_02,False,0,39.0,,False,junior
102,0228_03,True,0,42.0,False,,junior
103,0228_04,False,2,35.0,False,False,junior
104,0230_01,True,1,29.0,False,,junior
105,0230_02,False,2,20.0,False,False,junior
106,0235_01,True,2,25.0,False,,junior
107,0236_01,True,2,36.0,False,,junior
108,0238_01,False,2,39.0,False,False,junior
109,0247_01,True,0,23.0,False,,junior
110,0247_02,True,0,19.0,False,,junior
111,0249_01,False,2,50.0,False,False,junior
112,0256_01,False,1,41.0,False,False,junior
113,0259_01,False,0,19.0,False,,junior
114,0262_01,False,2,20.0,False,False,junior
115,0264_01,True,0,19.0,False,,junior
116,0264_02,True,2,38.0,False,,junior
117,0264_03,False,0,32.0,False,,junior
118,0266_01,False,2,44.0,False,,junior
119,0266_02,False,2,18.0,False,False,junior
120,0268_01,False,2,49.0,False,False,junior
121,0268_02,False,0,23.0,False,False,junior
122,0271_01,False,2,31.0,False,False,junior
123,0272_01,False,2,55.0,False,False,junior
124,0273_01,False,2,60.0,False,,junior
125,0273_02,True,2,20.0,False,False,junior
126,0273_03,False,2,34.0,False,False,junior
127,0274_01,False,3,14.0,False,False,junior
128,0274_02,True,2,26.0,False,,junior
129,0276_01,False,0,19.0,False,,junior
130,0276_02,True,2,25.0,False,,junior
131,0279_01,False,0,42.0,False,False,junior
132,0280_01,False,2,18.0,False,False,junior
133,0284_01,False,2,50.0,False,False,junior
134,0292_01,False,2,26.0,False,,junior
135,0293_01,True,2,47.0,False,,junior
136,0295_01,False,1,35.0,False,,junior
137,0296_01,False,0,58.0,False,False,junior
138,0299_01,False,0,20.0,False,False,junior
139,0300_01,False,2,28.0,False,,junior
140,0308_01,True,1,12.0,False,,junior
141,0311_01,False,0,20.0,False,False,junior
142,0312_01,True,2,22.0,False,,junior
143,0317_01,False,2,31.0,False,False,junior
144,0318_01,True,1,24.0,False,,junior
145,0319_01,False,2,17.0,False,False,junior
146,0319_02,True,0,,False,,junior
147,0323_01,True,0,18.0,False,,junior
148,0325_01,False,2,48.0,,False,junior
149,0328_01,False,2,38.0,False,False,junior
150,0329_01,True,0,33.0,,,junior
151,0332_01,True,2,20.0,False,False,junior
152,0335_01,False,2,22.0,,False,junior
153,0339_01,False,2,52.0,False,,junior
154,0339_02,False,0,15.0,False,,junior
155,0339_03,False,2,25.0,False,,junior
156,0339_04,True,0,14.0,False,,junior
157,0339_05,True,0,,False,,junior
158,0339_06,False,2,16.0,False,False,junior
159,0339_07,False,2,48.0,False,False,junior
160,0339_08,False,2,36.0,False,False,junior
